"","year","region","pctPoverty","medianIncome"
"19770",2007,19007,18.5,34349
"19795",2007,19009,10.2,39422
"19820",2007,19011,7.2,54417
"19845",2007,19013,16.9,41965
"19870",2007,19015,10.7,49733
"19895",2007,19017,6.8,51838
"19920",2007,19019,10.3,47329
"19945",2007,19021,10.6,39858
"19970",2007,19023,9.7,45525
"19995",2007,19025,11,42152
"20020",2007,19027,8.6,47285
"20045",2007,19029,13,39215
"20070",2007,19031,7.4,52237
"20095",2007,19033,11.4,45039
"20120",2007,19035,8.3,42913
"20145",2007,19037,8,42630
"20170",2007,19039,11.4,42879
"20195",2007,19041,10.2,43438
"20220",2007,19043,10.9,41407
"20245",2007,19045,11.5,42889
"20270",2007,19047,11.3,41713
"20295",2007,19049,5.3,65917
"20320",2007,19051,12.9,40792
"20345",2007,19053,19.3,31964
"20370",2007,19055,9.9,43529
"20395",2007,19057,13.1,41553
"20420",2007,19059,7.3,47733
"20445",2007,19061,8.8,46820
"20470",2007,19063,11,39717
"20495",2007,19065,11.9,39567
"20520",2007,19067,12.1,43541
"20545",2007,19069,10.1,44186
"20570",2007,19071,11.4,46741
"20595",2007,19073,10.3,41823
"20620",2007,19075,6,51745
"20645",2007,19077,9,47685
"20670",2007,19079,8.4,47603
"20695",2007,19081,8.4,46563
"20720",2007,19083,9.6,44474
"20745",2007,19085,10.2,47193
