"","region","avgLength"
"752","020205",2224.9
"753","020207",2329
"754","020209",2411.57142857143
"755","02035",2891.5
"756","02050",3107.4
"757","02055",1219
"758","02060",3721
"759","02068",3763.66666666667
"760","02070",3251.33333333333
"761","02090",2644.57142857143
"762","02095",2891
"763","021001",3509.5
"764","021003",3054
"765","021005",3807.25
"766","021007",3586.55555555556
"767","021009",3165.75
"768","021011",3744.13333333333
"769","021013",3148.9
"770","021015",3090.6
"771","021017",3591.3
"772","021019",3696.5
"773","021021",3390.6
"774","021023",3369.5
"775","021025",3672
"776","021027",3651.46153846154
"777","021029",3431.66666666667
"778","021031",3635
"779","021033",3523
"780","021035",3203.66666666667
"781","021037",2811
"782","021039",3577.6
"783","021041",3633
"784","021043",3643.2
"785","021045",3741.73333333333
"786","021047",3680
"787","021049",3634.27272727273
"788","021051",3468.61111111111
"789","021053",3370.66666666667
"790","021055",3522.7
"791","021057",3356.5
"792","021059",3409.375
"793","021061",3470.1
"794","021063",3748.46666666667
"795","021065",3611.53846153846
"796","021067",3553.1
"797","021069",3641.33333333333
"798","021071",3426.33333333333
"799","021073",3521.125
"800","021075",3403.75
"801","021077",3090.6
"802","021079",3276.25
"803","021081",3412.5
"804","021083",3487.71428571429
"805","021085",3757.07692307692
"806","021087",3443.3
"807","021089",3642.23076923077
"808","021091",3484.4
"809","021093",3706.91666666667
"810","021095",2951.88888888889
"811","021097",3533
"812","021099",3426.66666666667
"813","021101",3540.66666666667
"814","021103",3551.83333333333
"815","021105",3429.42857142857
"816","021107",3525.46153846154
"817","021109",3326.57142857143
"818","021111",3543.25
"819","021113",3612
"820","021115",3494.4
"821","021117",3090.6
"822","021119",3944.86666666667
"823","021121",3635.94117647059
"824","021123",3648.6
"825","021125",3187.72727272727
"826","021127",3507.47619047619
"827","021129",3761.07692307692
"828","021131",3486.33333333333
"829","021133",4012.4
"830","021135",3647.85714285714
"831","021137",3331.125
"832","021139",3671.18181818182
"833","021141",3314
"834","021143",3135.66666666667
"835","021145",3590.28571428571
"836","021147",3022.66666666667
"837","021149",3591.5
